iteration, x, y, value
0,9.1188,-12.891199,7.626874e+08
1,6.9293766,11.870216,3.941569e+08
2,5.2656336,-10.930096,2.0370034e+08
3,4.001355,10.064432,1.0527233e+08
4,3.0406299,-9.267328,5.44047e+07
5,2.3105745,8.533356,2.8116342e+07
6,1.7558056,-7.8575134,14530519.0
7,1.3342366,7.235198,7509369.0
8,1.0138865,-6.6621704,3880842.0
9,0.7704523,6.1345263,2005618.4
10,0.58546674,-5.648671,1036502.6
11,0.44489616,5.201296,535664.1
12,0.3380766,-4.7893534,276831.28
13,0.2569044,4.410036,143066.27
14,0.19522165,-4.0607615,73936.67
15,0.14834893,3.739149,38210.473
16,0.112730354,-3.4430084,19747.168
17,0.085663795,3.170322,10205.331
18,0.06509592,-2.9192324,5274.114
19,0.049466386,2.6880293,2725.663
20,0.037589505,-2.4751372,1408.6221
21,0.028564265,2.2791061,727.97534
22,0.021705985,-2.0986009,376.21756
23,0.016494378,1.9323916,194.42921
24,0.012534078,-1.7793462,100.48102
25,0.009524646,1.638422,51.928596
26,0.007237779,-1.5086589,26.836685
27,0.0054999883,1.389173,13.869194
28,0.0045756055,-0.4786533,0.0027657659
29,0.0045756055,-0.4786533,0.0027657659
30,0.0045756055,-0.4786533,0.0027657659
31,0.0045756055,-0.4786533,0.0027657659
32,0.0045756055,-0.4786533,0.0027657659
33,0.0045756055,-0.4786533,0.0027657659
34,0.0045756055,-0.4786533,0.0027657659
35,0.0045756055,-0.4786533,0.0027657659
36,0.0045756055,-0.4786533,0.0027657659
37,0.0045756055,-0.4786533,0.0027657659
38,0.0045756055,-0.4786533,0.0027657659
39,0.0045756055,-0.4786533,0.0027657659
40,0.0045756055,-0.4786533,0.0027657659
41,0.0045756055,-0.4786533,0.0027657659
42,0.0045756055,-0.4786533,0.0027657659
43,0.0045756055,-0.4786533,0.0027657659
44,0.0045756055,-0.4786533,0.0027657659
45,0.0045756055,-0.4786533,0.0027657659
46,0.0045756055,-0.4786533,0.0027657659
47,0.0045756055,-0.4786533,0.0027657659
48,0.0045756055,-0.4786533,0.0027657659
49,0.0045756055,-0.4786533,0.0027657659
50,0.0045756055,-0.4786533,0.0027657659
51,0.0045756055,-0.4786533,0.0027657659
52,0.0045756055,-0.4786533,0.0027657659
53,0.0045756055,-0.4786533,0.0027657659
54,0.0045756055,-0.4786533,0.0027657659
55,0.0045756055,-0.4786533,0.0027657659
56,0.0045756055,-0.4786533,0.0027657659
57,0.0045756055,-0.4786533,0.0027657659
58,0.0045756055,-0.4786533,0.0027657659
59,0.0045756055,-0.4786533,0.0027657659
60,0.0045756055,-0.4786533,0.0027657659
61,0.0045756055,-0.4786533,0.0027657659
62,0.0045756055,-0.4786533,0.0027657659
63,0.0045756055,-0.4786533,0.0027657659
64,0.0045756055,-0.4786533,0.0027657659
65,0.0045756055,-0.4786533,0.0027657659
66,0.0045756055,-0.4786533,0.0027657659
67,0.0045756055,-0.4786533,0.0027657659
68,0.0045756055,-0.4786533,0.0027657659
69,0.0045756055,-0.4786533,0.0027657659
70,0.0045756055,-0.4786533,0.0027657659
71,0.0045756055,-0.4786533,0.0027657659
72,0.0045756055,-0.4786533,0.0027657659
73,0.0045756055,-0.4786533,0.0027657659
74,0.0045756055,-0.4786533,0.0027657659
75,0.0045756055,-0.4786533,0.0027657659
76,0.0045756055,-0.4786533,0.0027657659
77,0.0045756055,-0.4786533,0.0027657659
78,0.0045756055,-0.4786533,0.0027657659
79,0.0045756055,-0.4786533,0.0027657659
80,0.0045756055,-0.4786533,0.0027657659
81,0.0045756055,-0.4786533,0.0027657659
82,0.0045756055,-0.4786533,0.0027657659
83,0.0045756055,-0.4786533,0.0027657659
84,0.0045756055,-0.4786533,0.0027657659
85,0.0045756055,-0.4786533,0.0027657659
