iteration, x, y, value
0,7.884,-5.208,139.5718
1,5.1797876,1.937376,28.428802
2,3.4031205,-0.72070384,7.868271
3,2.2358503,0.2681018,2.7870278
4,1.4689536,-0.09973386,1.1186998
5,0.96510255,0.037101,0.47121742
6,0.6340724,-0.013801571,0.20178585
7,0.41658556,0.005134184,0.086877204
8,0.27369672,-0.0019099163,0.03746954
9,0.17981875,0.00071048876,0.01616941
10,0.11814092,-0.00026430178,0.006978918
11,0.077618584,9.832025e-05,0.003012361
12,0.05099541,-3.6575133e-05,0.0013002713
13,0.033503987,1.360595e-05,0.00056125934
14,0.022012118,-5.0614126e-06,0.00024226677
15,0.014461962,1.8828455e-06,0.00010457418
16,0.009501509,-7.0041847e-07,4.5139343e-05
