iteration, x, y, value
0,12.0,14.0,856.0
1,9.98316,-4.823839,142.90944
2,8.30529,1.6621017,45.539253
3,6.90942,-0.5726936,25.181955
4,5.7481537,0.19732726,16.676388
5,4.7820616,-0.06799105,11.452547
6,3.9783406,0.023426987,7.9157925
7,3.309701,-0.008072,5.477321
8,2.7534394,0.0027812878,3.7907453
9,2.290669,-0.0009583202,2.6235857
10,1.9056762,0.00033019867,1.8158015
11,1.5853893,-0.00011377322,1.2567296
12,1.3189329,3.9201695e-05,0.869792
13,1.0972599,-1.35073315e-05,0.6019896
14,0.9128434,4.6540845e-06,0.41664153
15,0.7594218,-1.603611e-06,0.28836074
16,0.6317858,5.525401e-07,0.19957666
17,0.52560157,-1.9038316e-07,0.1381285
18,0.43726373,6.5598414e-08,0.095599785
19,0.3637728,-2.2602585e-08,0.06616533
20,0.30263352,7.787943e-09,0.045793526
21,0.2517699,-2.6834126e-09,0.03169404
22,0.20945494,9.245964e-10,0.021935686
23,0.17425185,-3.1857883e-10,0.015181854
24,0.14496535,1.097695e-10,0.0105074765
25,0.12060103,-3.7822162e-11,0.007272304
26,0.10033162,1.3031999e-11,0.005033217
27,0.083468884,-4.490304e-12,0.0034835273
28,0.06944027,1.5471786e-12,0.0024109755
29,0.057769444,-5.330957e-13,0.0016686543
30,0.048060134,1.8368342e-13,0.0011548882
31,0.03998267,-6.328995e-14,0.0007993069
32,0.03326278,2.1807182e-14,0.0005532063
33,0.027672306,-7.51388e-15,0.00038287826
34,0.023021422,2.5889816e-15,0.00026499294
35,0.019152213,-8.920593e-16,0.00018340362
36,0.015933301,3.0736782e-16,0.00012693505
37,0.013255391,-1.0590662e-16,8.78527e-05
38,0.011027558,3.6491172e-17,6.0803515e-05
39,0.009174156,-1.25733935e-17,4.208257e-05
40,0.0076322556,4.3322873e-18,2.9125662e-05
41,0.0063495026,-1.4927326e-18,2.0158092e-05
42,0.0052823415,5.1433574e-19,1.3951566e-05
43,0.0043945382,-1.7721947e-19,9.655983e-06
44,0.0036559482,6.106273e-20,6.6829784e-06
45,0.003041493,-2.1039772e-20,4.62534e-06
46,0.0025303094,7.2494626e-21,3.2012329e-06
47,0.0021050402,-2.4978738e-21,2.2155973e-06
48,0.0017512462,8.606671e-22,1.5334316e-06
49,0.0014569142,-2.9655142e-22,1.0612996e-06
50,0.0012120507,1.02179727e-22,7.3453344e-07
51,0.0010083413,-3.520704e-23,5.083761e-07
52,0.0008388694,1.2130933e-23,3.5185096e-07
